EcoKnights film tour in Publika Shopping Gallery.
The EcoKnights  film tour will be held in Publika Shopping Gallery as a part of the International Kuala Lumpur Eco Film Festival. Eight movies will be screened in the Black Box (Solaris Dutamas Kuala Lumpur).
EcoKnights is an organizer for the eco-film industry in Kuala Lumpur. It is one of local environmental NGO with their wide variety of expertise, is ready to serve the community through a variety of film screenings, environmental workshops, eco-talks, and other earth-friendly activities in the country and supported over 150 films through the Eco-Film Development Program. The tour will be held on 16,17 and October 18, with free admission.
EcoKnights film tour, Black Box Publika Shopping Gallery
Date	Time		Title				Director				Duration
16/10	7:45 pm    	Sumatra’s Last Tigers     	Harun Rahman				00:46:00
17/10	10:50 am   	Toxic Hot Seat	     		James Redford, Kirby Walker		01:31:00
17/10	8:00 pm    	Inhabit: A Permaculture   	Costa Boutsikaris			01:31:54
                	Perspective
17/10	1:35 pm    	Racing Extinction	     	Louie Psihoyos				01:34:00
18/10	3:30 pm    	Banking Nature	     		Denis Delestrac & Sandrine Feydel	01:30:00
18/10	2:20 pm    	Dancing With Thoreau    	Chris Korrow				01:16:00
18/10	7:30 pm    	POVERTY, INC	     		Michael Matheson Miller		         	01:31:00
18/10	5:50 pm    	The True Cost	     		Andrew Morgan				01:29:46
